symbol,horizon,offset_bps,n_windows,fill_rate_bid,fill_rate_ask,fill_rate_either,mean_pnl_bid_filled,median_pnl_bid_filled,q25_pnl_bid_filled,q75_pnl_bid_filled,mean_pnl_ask_filled,median_pnl_ask_filled,q25_pnl_ask_filled,q75_pnl_ask_filled,mean_pnl_either_filled,median_pnl_either_filled,unconditional_maker_pnl_bps,model_accuracy_breakeven
AAVE,10,5,5184,0.372878,0.368441,0.683256,-5.00243,-4.10123,-13.776,3.98304,-5.78263,-4.72396,-13.7649,3.62573,-5.39019,-4.47807,-4.99793,0.221717
AAVE,50,1,5153,0.777411,0.783427,0.995537,-6.94629,-6.4864,-23.2834,10.4356,-6.61637,-5.11463,-22.7812,12.5453,-6.78069,-5.81938,-8.29178,0.278784
AAVE,50,2,5153,0.752765,0.75587,0.993402,-6.7892,-6.28832,-23.1955,10.5273,-6.64106,-5.09747,-22.4867,12.3719,-6.71497,-5.66822,-8.06522,0.276619
AAVE,50,5,5153,0.67223,0.674364,0.972637,-6.78689,-6.10626,-23.3394,10.3349,-6.64345,-4.64669,-22.2093,11.9055,-6.71505,-5.33673,-7.52123,0.276621
AAVE,100,1,5107,0.84531,0.843156,0.997259,-7.4031,-6.82732,-32.0535,18.3909,-6.91951,-5.24133,-30.8072,19.6813,-7.16161,-6.13206,-9.04607,0.29055
AAVE,100,2,5107,0.826904,0.82475,0.997259,-7.23283,-6.82415,-31.864,18.1499,-6.77946,-5.25089,-30.2272,19.3956,-7.00644,-6.03334,-8.78611,0.285911
AAVE,100,5,5107,0.766007,0.762483,0.992559,-7.05011,-6.7848,-31.1526,18.2267,-7.07088,-5.2409,-30.0705,18.9791,-7.06047,-5.99132,-8.39593,0.28755
AAVE,500,1,4773,0.931909,0.926671,0.997486,-9.55595,-8.46127,-63.3762,46.823,-4.5149,-2.86536,-60.1281,52.2533,-7.04253,-5.11523,-9.54455,0.287008
AAVE,500,2,4773,0.923109,0.91829,0.997486,-9.41522,-8.55545,-63.3855,46.7346,-4.6067,-2.39233,-60.0475,52.0263,-7.01726,-5.17657,-9.46079,0.286241
AAVE,500,5,4773,0.898596,0.889168,0.997486,-9.08713,-7.79275,-62.9362,47.3846,-4.99081,-2.33649,-59.9439,51.3382,-7.04977,-4.68679,-9.30167,0.287227
ASTER,10,1,5196,0.476328,0.473249,0.831601,-9.7127,-8.72345,-20.7044,2.0316,-9.01983,-8.51102,-19.8184,1.77894,-9.36738,-8.69007,-7.44752,0.33987
ASTER,10,2,5196,0.446882,0.441493,0.792918,-9.53835,-8.62241,-20.5538,2.38942,-8.74442,-8.53633,-19.5842,2.07701,-9.1438,-8.55985,-7.06156,0.335954
ASTER,10,5,5196,0.361624,0.354696,0.672248,-9.32616,-8.35644,-20.3035,3.34434,-8.26524,-8.14686,-19.0731,2.88895,-8.80083,-8.2383,-6.15211,0.329562
ASTER,50,1,5167,0.740081,0.745113,0.994194,-11.5546,-10.0904,-34.3865,13.8554,-11.3917,-10.2465,-34.1741,12.5076,-11.4729,-10.1363,-11.5197,0.369257
