symbol,horizon,fold,n_test_windows,p_cascade,precision_top_decile,recall_top_decile,lift,auc,mean_edge_in_cascade_bps,headroom_top_decile_bps,expected_gross_per_day
AVAX,50,2026-03,478,0.014644351464435146,0.02127659574468085,0.14285714285714285,1.452887537993921,0.5665756748559296,171.0650235846905,238.538240952833,407.2188541980507
AVAX,100,2026-02,586,0.027303754266211604,0.08620689655172414,0.3125,3.157327586206897,0.6257675438596491,233.58887282313404,727.5165919954555,1522.5882961047746
AVAX,100,2026-03,472,0.012711864406779662,0.0,0.0,0.0,0.42525035765379116,194.02232992433747,-10.0,-16.857142857142858
AVAX,500,2026-02,530,0.018867924528301886,0.03773584905660377,0.2,2.0,0.7351923076923077,548.8222142494118,1087.6444284988236,2058.7555253727733
AVAX,500,2026-03,422,0.018957345971563982,0.0,0.0,0.0,0.45410628019323673,465.24932904958433,-10.0,-15.071428571428571
BNB,10,2026-02,993,0.030211480362537766,0.10101010101010101,0.3333333333333333,3.343434343434343,0.7372793354101765,43.83511463697687,136.5598277256499,484.29967475560846
BNB,10,2026-03,434,0.02304147465437788,0.0,0.0,0.0,0.4556603773584906,39.6886182988967,-10.0,-15.5
BNB,50,2026-02,989,0.028311425682507583,0.12244897959183673,0.42857142857142855,4.325072886297376,0.7107923294187602,104.40050465418904,441.53979199559603,1559.5816224415873
BNB,50,2026-03,429,0.02097902097902098,0.023809523809523808,0.1111111111111111,1.1349206349206349,0.49497354497354495,87.56366139803276,89.37780618983084,136.93956734084796
BNB,100,2026-02,979,0.015321756894790603,0.08247422680412371,0.5333333333333333,5.382817869415807,0.7020055325034578,160.2169794240161,852.4188198274186,2980.42151646801
BNB,100,2026-03,427,0.01405152224824356,0.047619047619047616,0.3333333333333333,3.388888888888889,0.7288202692003167,134.38782429678554,445.4254045613288,679.2737419560264
BNB,500,2026-02,923,0.020585048754062838,0.03260869565217391,0.15789473684210525,1.584096109839817,0.45901257568700515,318.9781466496626,495.2920412316452,1632.6948359171736
BNB,500,2026-03,377,0.015915119363395226,0.0,0.0,0.0,0.38230008984725966,315.7934161948125,-10.0,-13.464285714285714
BTC,10,2026-02,2663,0.02816372512204281,0.10150375939849623,0.36,3.6040601503759393,0.7092065945388975,26.798769308601234,86.58437654424746,823.4792669190393
BTC,10,2026-03,2062,0.02279340446168768,0.07281553398058252,0.3191489361702128,3.1945878950630036,0.703056860778206,22.85416524466906,63.00963964238939,464.02098908073896
BTC,50,2026-02,2651,0.025650697849867975,0.13584905660377358,0.5294117647058824,5.296115427302997,0.850908656145385,58.08984142370035,297.6505053336441,2818.1124629981805
BTC,50,2026-03,2055,0.020924574209245744,0.05853658536585366,0.27906976744186046,2.7975042541123085,0.636587452031994,52.63410011639763,137.24411898699555,1007.273801850985
BTC,100,2026-02,2648,0.026812688821752265,0.10606060606060606,0.39436619718309857,3.9556124626547167,0.7679472254559565,83.48816771329997,320.2468366909365,3028.620084134285
